address,total_contribution,contribution_count,unique_clusters,first_contribution,last_contribution,contribution_percentile,amount,contract_address,claimed,claimed_amount
0x00db9d455404b9288a453ac90f6d8ead51f2e32c,,,,,,,267070523280866,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x010a0d6f6dd0da242faaafed264483bd2ba360de,,,,,,,85476981633510,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x010bb700d230644a0da1c90e1874d312fbe28612,,,,,,,15968849765718659072,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x0114dce242d65bd31542b36b59eccf7e3b0fd836,,,,,,,41708276285808584,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x0116ce688b93c6adde05aab9b31cf14284304227,,,,,,,122135078797257152,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x014b14c769329556a8e814e40cf41f8d56d75fe1,,,,,,,220358350112841,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x014cae32236468fe41384c1545a356d9c2a8641e,,,,,,,134916671990395,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x0176b2a97968632b4538aad93f0cc20f06e8b758,,,,,,,89198409408878,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x0195faf29fe8a1becec6645396f9709ccf5a2ccb,,,,,,,50765370946626128,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x01bf598c32c17f3134469c857a6307ed9ae1ee3c,,,,,,,306516481699942848,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x01cc43b396b5ac3e987b12ac067cb4269e571aa3,,,,,,,340596811042533440,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x01f7942fef6439d87b017661e786c517e8287deb,,,,,,,51042356119778762752,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x020721902e8de2fa201ee3db8a392651f6c16558,,,,,,,126193069337815488,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x022803d9b4c8fb004860c1a05f98e70dd2d9b81c,,,,,,,30214631243304388,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x024f34f97af42add9d86aa175193f247f6c30930,,,,,,,121698644448835824,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x026d98d26303df6e0525853a2bbcd9f10b3537d0,,,,,,,134662425751388208,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x026f89eae0c03c8cd02f021fa7a20c8c7f1bc241,,,,,,,470677633228365120,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x02891877a270d71dc655dfd78f0deaf1c3c4d156,,,,,,,854025535656959488,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x0289639d204efe94819b75de48933eb86ca779c0,,,,,,,108162430167634,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x02992c708a938e7b6d28b5d56e5fb7540f501bab,,,,,,,531185697298969,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x02bc449b248f5c81b5a748db0b45402cd5ffa6b2,,,,,,,512454945038966912,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x02e87aa5346669e1f23d5c8988f53fd9de48381d,,,,,,,83857831408065,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x03170bbe55076d65e93402470430b4d27c5e2b1f,,,,,,,91729528332885320,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x031e44347de34e0fa0b32d500d0ee656b7fbdb6f,,,,,,,20,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x0326e9105a450d9676221a2a887b5c94403a3e44,,,,,,,5133662139662378496,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x033990415282b034d123bd5ce3984f1fa7cc0654,,,,,,,4252844079122816512,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x034389eab5111e9fe301b9a47aeafd439f6ed963,,,,,,,2996116808386,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x0345fa5dc69c9ca90a441215e2fa8a0b36469286,,,,,,,2129697793938579200,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x036f1e40bd41595e30737b23bb3526420b1d11f9,,,,,,,0,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x037bcbed5b412c8613064297896a67840c0bd9cf,,,,,,,98655330588054,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,,,,,,,0,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x039abddbaf885513e4c034059986e0fe0473e33a,,,,,,,15968849765718659072,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
0x039c6ff5972943554ecd20b30ce3c0c6daf67732,,,,,,,12815777873532,0x720e17a8DB2D3c1D3E7e9d28201667E9a7A62AFE,False,
